Município;População_residente
110001 Alta Floresta D'Oeste;24069
110037 Alto Alegre dos Parecis;12833
110040 Alto Paraíso;17742
110034 Alvorada D'Oeste;16404
110002 Ariquemes;92747
110045 Buritis;33397
110003 Cabixi;6132
110060 Cacaulândia;5791
110004 Cacoal;79330
110070 Campo Novo de Rondônia;12847
110080 Candeias do Jamari;20787
110090 Castanheiras;3479
110005 Cerejeiras;16852
110092 Chupinguaia;8721
110006 Colorado do Oeste;18093
110007 Corumbiara;8530
110008 Costa Marques;14355
110094 Cujubim;17262
110009 Espigão D'Oeste;29189
110100 Governador Jorge Teixeira;10040
110010 Guajará-Mirim;42202
110110 Itapuã do Oeste;8830
110011 Jaru;51765
110012 Ji-Paraná;118092
110013 Machadinho D'Oeste;32403
110120 Ministro Andreazza;10203
110130 Mirante da Serra;11686
110140 Monte Negro;14313
110014 Nova Brasilândia D'Oeste;19891
110033 Nova Mamoré;23719
110143 Nova União;7382
110050 Novo Horizonte do Oeste;9933
110015 Ouro Preto do Oeste;37482
110145 Parecis;4990
110018 Pimenta Bueno;34135
110146 Pimenteiras do Oeste;2283
110020 Porto Velho;442701
110025 Presidente Médici;21709
110147 Primavera de Rondônia;3406
110026 Rio Crespo;3374
110028 Rolim de Moura;51142
110029 Santa Luzia D'Oeste;8476
110148 São Felipe D'Oeste;5862
110149 São Francisco do Guaporé;16636
110032 São Miguel do Guaporé;21927
110150 Seringueiras;11619
110155 Teixeirópolis;4778
110160 Theobroma;10575
110170 Urupá;12687
110175 Vale do Anari;9633
110180 Vale do Paraíso;7961
110030 Vilhena;79616
120001 Acrelândia;13011
120005 Assis Brasil;6308
120010 Brasiléia;22261
120013 Bujari;8782
120017 Capixaba;9368
120020 Cruzeiro do Sul;79819
120025 Epitaciolândia;15679
120030 Feijó;32560
120032 Jordão;6898
120033 Mâncio Lima;15890
120034 Manoel Urbano;8224
120035 Marechal Thaumaturgo;15123
120038 Plácido de Castro;17587
120080 Porto Acre;15534
120039 Porto Walter;9711
120040 Rio Branco;348354
120042 Rodrigues Alves;15260
120043 Santa Rosa do Purus;5061
120050 Sena Madureira;39366
120045 Senador Guiomard;20588
120060 Tarauacá;36763
120070 Xapuri;16639
130002 Alvarães;14381
130006 Amaturá;9794
130008 Anamã;10766
130010 Anori;17072
130014 Apuí;18633
130020 Atalaia do Norte;15924
130030 Autazes;33312
130040 Barcelos;25948
130050 Barreirinha;28077
130060 Benjamin Constant;34950
130063 Beruri;16158
130068 Boa Vista do Ramos;15659
130070 Boca do Acre;31171
130080 Borba;35919
130083 Caapiranga;11303
130090 Canutama;13986
130100 Carauari;26130
130110 Careiro;33517
130115 Careiro da Várzea;24937
130120 Coari;77305
130130 Codajás;24067
130140 Eirunepé;31364
130150 Envira;16923
130160 Fonte Boa;23198
130165 Guajará;14396
130170 Humaitá;45954
130180 Ipixuna;23460
130185 Iranduba;41947
130190 Itacoatiara;89064
130195 Itamarati;7983
130200 Itapiranga;8348
130210 Japurá;7448
130220 Juruá;11439
130230 Jutaí;18293
130240 Lábrea;39022
130250 Manacapuru;86985
130255 Manaquiri;24325
130260 Manaus;1861838
130270 Manicoré;48373
130280 Maraã;17596
130290 Maués;54079
130300 Nhamundá;18720
130310 Nova Olinda do Norte;31749
130320 Novo Airão;15489
130330 Novo Aripuanã;22106
130340 Parintins;103828
130350 Pauini;18329
130353 Presidente Figueiredo;28652
130356 Rio Preto da Eva;26948
130360 Santa Isabel do Rio Negro;19292
130370 Santo Antônio do Içá;24890
130380 São Gabriel da Cachoeira;39097
130390 São Paulo de Olivença;32677
130395 São Sebastião do Uatumã;11241
130400 Silves;8544
130406 Tabatinga;54440
130410 Tapauá;17903
130420 Tefé;61000
130423 Tonantins;17316
130426 Uarini;12139
130430 Urucará;16902
130440 Urucurituba;18679
140005 Alto Alegre;16228
140002 Amajari;9936
140010 Boa Vista;296959
140015 Bonfim;11188
140017 Cantá;14707
140020 Caracaraí;19019
140023 Caroebe;8480
140028 Iracema;9288
140030 Mucajaí;15328
140040 Normandia;9364
140045 Pacaraima;10953
140047 Rorainópolis;25319
140050 São João da Baliza;7023
140060 São Luiz;6968
140070 Uiramutã;8764
150010 Abaetetuba;144415
150013 Abel Figueiredo;6905
150020 Acará;53787
150030 Afuá;35879
150034 Água Azul do Norte;25506
150040 Alenquer;53369
150050 Almeirim;33563
150060 Altamira;102343
150070 Anajás;25731
150080 Ananindeua;483821
150085 Anapu;22225
150090 Augusto Corrêa;41628
150095 Aurora do Pará;27576
150100 Aveiro;15899
150110 Bagre;25398
150120 Baião;39263
150125 Bannach;3379
150130 Barcarena;105385
150140 Belém;1410430
150145 Belterra;16579
150150 Benevides;54083
150157 Bom Jesus do Tocantins;15629
150160 Bonito;14207
150170 Bragança;116164
150172 Brasil Novo;17960
150175 Brejo Grande do Araguaia;7295
150178 Breu Branco;55521
150180 Breves;94779
150190 Bujaru;26400
150200 Cachoeira do Arari;21147
150195 Cachoeira do Piriá;28153
150210 Cametá;124411
150215 Canaã dos Carajás;29101
150220 Capanema;64624
150230 Capitão Poço;52214
150240 Castanhal;178986
150250 Chaves;21557
150260 Colares;11495
150270 Conceição do Araguaia;45885
150275 Concórdia do Pará;29313
150276 Cumaru do Norte;11144
150277 Curionópolis;18108
150280 Curralinho;29838
150285 Curuá;12712
150290 Curuçá;35523
150293 Dom Eliseu;53100
150295 Eldorado do Carajás;32115
150300 Faro;7897
150304 Floresta do Araguaia;18295
150307 Garrafão do Norte;25157
150309 Goianésia do Pará;35299
150310 Gurupá;29963
150320 Igarapé-Açu;36414
150330 Igarapé-Miri;58904
150340 Inhangapi;10393
150345 Ipixuna do Pará;51569
150350 Irituia;31492
150360 Itaituba;97908
150370 Itupiranga;51457
150375 Jacareacanga;41487
150380 Jacundá;52993
150390 Juruti;49486
150400 Limoeiro do Ajuru;25846
150405 Mãe do Rio;28290
150410 Magalhães Barata;8179
150420 Marabá;243583
150430 Maracanã;28498
150440 Marapanim;26890
150442 Marituba;113353
150445 Medicilândia;28227
150450 Melgaço;25374
150460 Mocajuba;27666
150470 Moju;72597
150480 Monte Alegre;55804
150490 Muaná;35524
150495 Nova Esperança do Piriá;20350
150497 Nova Ipixuna;15065
150500 Nova Timboteua;14012
150503 Novo Progresso;25151
150506 Novo Repartimento;65106
150510 Óbidos;49763
150520 Oeiras do Pará;29402
150530 Oriximiná;64978
150540 Ourém;16601
150543 Ourilândia do Norte;28551
150548 Pacajá;41654
150549 Palestina do Pará;7465
150550 Paragominas;101046
150553 Parauapebas;166342
150555 Pau D'Arco;5869
150560 Peixe-Boi;7869
150563 Piçarra;12701
150565 Placas;25526
150570 Ponta de Pedras;27103
150580 Portel;54306
150590 Porto de Moz;35529
150600 Prainha;29325
150610 Primavera;10352
150611 Quatipuru;12639
150613 Redenção;77415
150616 Rio Maria;17728
150618 Rondon do Pará;48036
150619 Rurópolis;42417
150620 Salinópolis;38021
150630 Salvaterra;20948
150635 Santa Bárbara do Pará;18012
150640 Santa Cruz do Arari;8593
150650 Santa Izabel do Pará;61919
150655 Santa Luzia do Pará;19428
150658 Santa Maria das Barreiras;18150
150660 Santa Maria do Pará;23355
150670 Santana do Araguaia;59919
150680 Santarém;299419
150690 Santarém Novo;6248
150700 Santo Antônio do Tauá;27707
150710 São Caetano de Odivelas;17087
150715 São Domingos do Araguaia;23602
150720 São Domingos do Capim;30215
150730 São Félix do Xingu;99905
150740 São Francisco do Pará;15184
150745 São Geraldo do Araguaia;25277
150746 São João da Ponta;5451
150747 São João de Pirabas;21125
150750 São João do Araguaia;13293
